state,strategy,deadline_dmax,action,sample_n,p_low,p_normal,p_hit,p_viral,p_next_high,expected_state_score,resource_cost,immediate_reward
Low,Lifestyle/Other,7,Lifestyle/Other / ≤7 days,5,0.5333333333333333,0.4444444444444444,0.0148148148148148,0.0074074074074074,0.0222222222222222,0.4962962962962962,1.4,0.1462962962962962
Low,Lifestyle/Other,14,Lifestyle/Other / ≤14 days,5,0.5333333333333333,0.4444444444444444,0.0148148148148148,0.0074074074074074,0.0222222222222222,0.4962962962962962,1.1,0.2212962962962962
Low,Lifestyle/Other,30,Lifestyle/Other / ≤30 days,5,0.5333333333333333,0.4444444444444444,0.0148148148148148,0.0074074074074074,0.0222222222222222,0.4962962962962962,0.9,0.2712962962962962
Low,Review/Tech,7,Review/Tech / ≤7 days,2,0.6333333333333333,0.3333333333333333,0.0222222222222222,0.0111111111111111,0.0333333333333333,0.4111111111111111,1.7999999999999998,-0.0388888888888888
Low,Review/Tech,14,Review/Tech / ≤14 days,4,0.475,0.5,0.0166666666666666,0.0083333333333333,0.025,0.5583333333333333,1.5,0.1833333333333333
Low,Review/Tech,30,Review/Tech / ≤30 days,4,0.475,0.5,0.0166666666666666,0.0083333333333333,0.025,0.5583333333333333,1.3,0.2333333333333333
Low,Talk/Topic,7,Talk/Topic / ≤7 days,25,0.4413793103448276,0.5517241379310345,0.0045977011494252,0.0022988505747126,0.0068965517241379,0.5678160919540229,1.6,0.1678160919540229
Low,Talk/Topic,14,Talk/Topic / ≤14 days,26,0.4266666666666667,0.5333333333333333,0.0377777777777777,0.0022222222222222,0.04,0.6155555555555556,1.3,0.2905555555555556
Low,Talk/Topic,30,Talk/Topic / ≤30 days,26,0.4266666666666667,0.5333333333333333,0.0377777777777777,0.0022222222222222,0.04,0.6155555555555556,1.1,0.3405555555555556
Low,Travel/Experience,7,Travel/Experience / ≤7 days,16,0.49,0.45,0.0066666666666666,0.0533333333333333,0.06,0.6233333333333333,2.0,0.1233333333333333
Low,Travel/Experience,14,Travel/Experience / ≤14 days,24,0.4571428571428572,0.4642857142857143,0.0404761904761904,0.038095238095238,0.0785714285714285,0.6595238095238096,1.7,0.2345238095238096
Low,Travel/Experience,30,Travel/Experience / ≤30 days,25,0.4413793103448276,0.4827586206896552,0.0390804597701149,0.0367816091954023,0.0758620689655172,0.671264367816092,1.5,0.296264367816092
Normal,Lifestyle/Other,7,Lifestyle/Other / ≤7 days,14,0.181023720349563,0.6173533083645444,0.1991260923845193,0.0024968789013732,0.2016229712858926,1.023096129837703,1.4,0.6730961298377031
Normal,Lifestyle/Other,14,Lifestyle/Other / ≤14 days,14,0.181023720349563,0.6173533083645444,0.1991260923845193,0.0024968789013732,0.2016229712858926,1.023096129837703,1.1,0.748096129837703
Normal,Lifestyle/Other,30,Lifestyle/Other / ≤30 days,14,0.181023720349563,0.6173533083645444,0.1991260923845193,0.0024968789013732,0.2016229712858926,1.023096129837703,0.9,0.7980961298377031
Normal,Review/Tech,7,Review/Tech / ≤7 days,8,0.5215355805243446,0.3426966292134831,0.1320224719101123,0.0037453183520599,0.1357677902621723,0.6179775280898877,1.7999999999999998,0.1679775280898877
Normal,Review/Tech,14,Review/Tech / ≤14 days,8,0.5215355805243446,0.3426966292134831,0.1320224719101123,0.0037453183520599,0.1357677902621723,0.6179775280898877,1.5,0.2429775280898877
Normal,Review/Tech,30,Review/Tech / ≤30 days,8,0.5215355805243446,0.3426966292134831,0.1320224719101123,0.0037453183520599,0.1357677902621723,0.6179775280898877,1.3,0.2929775280898877
Normal,Talk/Topic,7,Talk/Topic / ≤7 days,24,0.4378009630818619,0.4325842696629213,0.1280096308186195,0.0016051364365971,0.1296147672552166,0.6934189406099518,1.6,0.2934189406099518
Normal,Talk/Topic,14,Talk/Topic / ≤14 days,25,0.4227043781480046,0.4521503293297172,0.1235955056179775,0.0015497869043006,0.1251452925222781,0.7039907012785743,1.3,0.3789907012785743
Normal,Talk/Topic,30,Talk/Topic / ≤30 days,25,0.4227043781480046,0.4521503293297172,0.1235955056179775,0.0015497869043006,0.1251452925222781,0.7039907012785743,1.1,0.4289907012785743
Normal,Travel/Experience,7,Travel/Experience / ≤7 days,27,0.2664008698803914,0.5520115984052193,0.1478796665458499,0.0337078651685393,0.1815875317143892,0.9488945270025372,2.0,0.4488945270025372
Normal,Travel/Experience,14,Travel/Experience / ≤14 days,39,0.238568068983538,0.584008361640972,0.1531225503004964,0.0243010190749934,0.1774235693754899,0.9631565194669454,1.7,0.5381565194669453
Normal,Travel/Experience,30,Travel/Experience / ≤30 days,42,0.2447484123106985,0.5893991206643869,0.1431362970200293,0.0227161700048852,0.1658524670249145,0.9438202247191012,1.5,0.5688202247191011
Hit,Lifestyle/Other,7,Lifestyle/Other / ≤7 days,10,0.0095238095238095,0.4619047619047619,0.238095238095238,0.2904761904761904,0.5285714285714285,1.809523809523809,1.4,1.4595238095238092
Hit,Lifestyle/Other,14,Lifestyle/Other / ≤14 days,10,0.0095238095238095,0.4619047619047619,0.238095238095238,0.2904761904761904,0.5285714285714285,1.809523809523809,1.1,1.5345238095238094
Hit,Lifestyle/Other,30,Lifestyle/Other / ≤30 days,10,0.0095238095238095,0.4619047619047619,0.238095238095238,0.2904761904761904,0.5285714285714285,1.809523809523809,0.9,1.5845238095238092
Hit,Review/Tech,7,Review/Tech / ≤7 days,2,0.1888888888888888,0.2444444444444444,0.3888888888888888,0.1777777777777777,0.5666666666666667,1.5555555555555554,1.7999999999999998,1.1055555555555554
Hit,Review/Tech,14,Review/Tech / ≤14 days,2,0.1888888888888888,0.2444444444444444,0.3888888888888888,0.1777777777777777,0.5666666666666667,1.5555555555555554,1.5,1.1805555555555554
Hit,Review/Tech,30,Review/Tech / ≤30 days,2,0.1888888888888888,0.2444444444444444,0.3888888888888888,0.1777777777777777,0.5666666666666667,1.5555555555555554,1.3,1.2305555555555554
Hit,Talk/Topic,7,Talk/Topic / ≤7 days,3,0.019047619047619,0.4952380952380952,0.3333333333333333,0.1523809523809523,0.4857142857142856,1.6190476190476188,1.6,1.2190476190476187
Hit,Talk/Topic,14,Talk/Topic / ≤14 days,3,0.019047619047619,0.4952380952380952,0.3333333333333333,0.1523809523809523,0.4857142857142856,1.6190476190476188,1.3,1.294047619047619
Hit,Talk/Topic,30,Talk/Topic / ≤30 days,3,0.019047619047619,0.4952380952380952,0.3333333333333333,0.1523809523809523,0.4857142857142856,1.6190476190476188,1.1,1.3440476190476187
Hit,Travel/Experience,7,Travel/Experience / ≤7 days,9,0.0102564102564102,0.2666666666666666,0.4102564102564102,0.3128205128205128,0.7230769230769231,2.025641025641025,2.0,1.5256410256410255
Hit,Travel/Experience,14,Travel/Experience / ≤14 days,14,0.0074074074074074,0.3037037037037037,0.4074074074074074,0.2814814814814814,0.6888888888888889,1.9629629629629628,1.7,1.5379629629629628
Hit,Travel/Experience,30,Travel/Experience / ≤30 days,15,0.0070175438596491,0.287719298245614,0.3859649122807017,0.3192982456140351,0.7052631578947368,2.017543859649123,1.5,1.6425438596491229
Viral,Lifestyle/Other,7,Lifestyle/Other / ≤7 days,2,0.0,0.0,0.2083333333333333,0.7916666666666666,1.0,2.7916666666666665,1.4,2.4416666666666664
Viral,Lifestyle/Other,14,Lifestyle/Other / ≤14 days,2,0.0,0.0,0.2083333333333333,0.7916666666666666,1.0,2.7916666666666665,1.1,2.5166666666666666
Viral,Lifestyle/Other,30,Lifestyle/Other / ≤30 days,2,0.0,0.0,0.2083333333333333,0.7916666666666666,1.0,2.7916666666666665,0.9,2.5666666666666664
Viral,Review/Tech,7,Review/Tech / ≤7 days,3,0.0,0.0,0.3214285714285714,0.6785714285714286,1.0,2.6785714285714284,1.7999999999999998,2.2285714285714286
Viral,Review/Tech,14,Review/Tech / ≤14 days,3,0.0,0.0,0.3214285714285714,0.6785714285714286,1.0,2.6785714285714284,1.5,2.3035714285714284
Viral,Review/Tech,30,Review/Tech / ≤30 days,3,0.0,0.0,0.3214285714285714,0.6785714285714286,1.0,2.6785714285714284,1.3,2.353571428571428
Viral,Talk/Topic,7,Talk/Topic / ≤7 days,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.6,2.1277777777777778
Viral,Talk/Topic,14,Talk/Topic / ≤14 days,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.3,2.202777777777777
Viral,Talk/Topic,30,Talk/Topic / ≤30 days,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.1,2.2527777777777778
Viral,Travel/Experience,7,Travel/Experience / ≤7 days,4,0.0,0.0,0.15625,0.84375,1.0,2.84375,2.0,2.34375
Viral,Travel/Experience,14,Travel/Experience / ≤14 days,5,0.0,0.0,0.1388888888888889,0.8611111111111112,1.0,2.861111111111111,1.7,2.436111111111112
Viral,Travel/Experience,30,Travel/Experience / ≤30 days,6,0.0,0.0,0.225,0.775,1.0,2.7750000000000004,1.5,2.4000000000000004
